Item,url,price($)
Arduino MKR WAN 1310,https://store-usa.arduino.cc/products/arduino-mkr-wan-1310,46.00
Micro-USB to USB,https://www.amazon.com/Android-Compatible-Smartphones-Charging-Stations/dp/B095JZSHXQ,1.60
Male to Male Jumper Wires,https://www.amazon.com/Solderless-Multicolored-Electronic-Breadboard-Protoboard/dp/B09FP517VM,6.00
Breadboard,https://www.adafruit.com/product/65,4.00
28x64 OLED display,https://www.amazon.com/UCTRONICS-SSD1306-Self-Luminous-Display-Raspberry/dp/B072Q2X2LL,7.00
RAK Discover Kit 2, https://store.rakwireless.com/products/rak-discover-kit-2?variant=39942870302918, 170.00
5.8dBi Fiberglass Antenna, https://store.rakwireless.com/products/5-8dbi-fiber-glass-antenna?variant=41100723912902, 40.00
poe splitter, https://www.amazon.com/DSLRKIT-Active-Splitter-Female-802-3af/dp/B073P7J1KR?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A2Y9R0VEAYJBWE&gQT=1, 10.50
3 ft ethernet cord, https://www.amazon.com/Amazon-Basics-Ethernet-Gold-Plated-Connectors/dp/B00N2VIALK?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=ATVPDKIKX0DER&gQT=1&th=1, 5.15
USB C Cable, https://www.amazon.com/SUNGUY-2-Pack-Charging-Samsung-OnePlus/dp/B07H95NY5Y/?th=1, 6.99


